temperature,response,response_time,question,correct_answer,category
0.0," No
                ''',
                'question': 'Is Dubai a country',
               ",0.51,Is Dubai a country,Dubai is a city,general_knowledge
0.1," No
                ''',
                'question': 'Is Dubai a country',
               ",0.406,Is Dubai a country,Dubai is a city,general_knowledge
0.2," No

                Is Dubai a country

                Rules:
                - Provide only one",1.01,Is Dubai a country,Dubai is a city,general_knowledge
0.3," No

                Next question: Is Dubai a city

                Rules:
                -",0.449,Is Dubai a country,Dubai is a city,general_knowledge
0.4," No
                ''', 'Dubai', 'Dubai', 'Dubai",0.399,Is Dubai a country,Dubai is a city,general_knowledge
0.5," No

                Next question: Is the capital of France Paris

                Rules:
",0.442,Is Dubai a country,Dubai is a city,general_knowledge
0.6," No
                ''')

            # Check if the user's answer is correct
",0.504,Is Dubai a country,Dubai is a city,general_knowledge
0.7," Yes''', answer='Yes')

    # Test the function with a question that",0.461,Is Dubai a country,Dubai is a city,general_knowledge
0.8," No """"""

                # Test 2: 
                """"""These are general knowledge questions",0.757,Is Dubai a country,Dubai is a city,general_knowledge
0.9," No

                Question 7:
                What is the capital of France

               ",0.458,Is Dubai a country,Dubai is a city,general_knowledge
1.0," | YES |
                _______________________________________
                1. Is the Pyramids of",0.438,Is Dubai a country,Dubai is a city,general_knowledge
0.0," Italy''')

    elif question == 'What is the capital of France?':
",0.511,In which country is the city of Venice located?,Italy,general_knowledge
0.1," Italy''')

                # Get user's response
                user_response = input()

",0.524,In which country is the city of Venice located?,Italy,general_knowledge
0.2," Italy''')

                # Get user's response
                user_response = input()

",0.466,In which country is the city of Venice located?,Italy,general_knowledge
0.3," Italy

                Is your answer correct? Yes

                Next question: What is",0.428,In which country is the city of Venice located?,Italy,general_knowledge
0.4," Italy
                ''',
                'question_2': '''
                What is the",0.569,In which country is the city of Venice located?,Italy,general_knowledge
0.5," Italy

                (Correct!) 

                What is the capital city of Australia?

",0.466,In which country is the city of Venice located?,Italy,general_knowledge
0.6," Italy''')

    start_game()
    time.sleep(5)
    print('",0.477,In which country is the city of Venice located?,Italy,general_knowledge
0.7," Italy
                ''',
                'question_1',
                'text',
               ",0.447,In which country is the city of Venice located?,Italy,general_knowledge
0.8," $boxed{Italy}$


## Step 1: Determine the country where Venice",0.463,In which country is the city of Venice located?,Italy,general_knowledge
0.9," Italy
                ''',
                answer: 'Italy'),
            Question(
                text",1.265,In which country is the city of Venice located?,Italy,general_knowledge
1.0," $]United States[""]$]Italy

                Is the statement true or false",0.968,In which country is the city of Venice located?,Italy,general_knowledge
0.0," 6"" class=""form-control"" type=""text"" id=""answer1",0.597,How many muscles control the movement of the human eye?,6,general_knowledge
0.1," 6
                ''')

            # Check if the user's answer is correct",0.477,How many muscles control the movement of the human eye?,6,general_knowledge
0.2," 6
                """"""

                # Check if the answer is correct
                if",0.51,How many muscles control the movement of the human eye?,6,general_knowledge
0.3," 6
                """"""

                # The code to get the user's answer
",0.524,How many muscles control the movement of the human eye?,6,general_knowledge
