temperature,response,response_time,question,correct_answer,category
0.0,False,0.471,Is sun rotating around the earth,False,true_false
0.1,False,0.494,Is sun rotating around the earth,False,true_false
0.2,False,0.441,Is sun rotating around the earth,False,true_false
0.3,False,0.455,Is sun rotating around the earth,False,true_false
0.4,False,0.456,Is sun rotating around the earth,False,true_false
0.5,False,0.861,Is sun rotating around the earth,False,true_false
0.6,False,0.54,Is sun rotating around the earth,False,true_false
0.7,False,0.622,Is sun rotating around the earth,False,true_false
0.8,False,0.713,Is sun rotating around the earth,False,true_false
0.9,False,0.474,Is sun rotating around the earth,False,true_false
1.0,**,0.414,Is sun rotating around the earth,False,true_false
0.0,False,0.436,The capital of Sri Lanka is Colombo.,False,true_false
0.1,False,0.43,The capital of Sri Lanka is Colombo.,False,true_false
0.2,False,0.462,The capital of Sri Lanka is Colombo.,False,true_false
0.3,False,0.455,The capital of Sri Lanka is Colombo.,False,true_false
0.4,False,0.422,The capital of Sri Lanka is Colombo.,False,true_false
0.5,False,0.461,The capital of Sri Lanka is Colombo.,False,true_false
0.6,False,0.453,The capital of Sri Lanka is Colombo.,False,true_false
0.7,False                 python,0.429,The capital of Sri Lanka is Colombo.,False,true_false
0.8,False,0.395,The capital of Sri Lanka is Colombo.,False,true_false
0.9,False,0.442,The capital of Sri Lanka is Colombo.,False,true_false
1.0,False              --> Correct,0.444,The capital of Sri Lanka is Colombo.,False,true_false
0.0,False,0.42,2 multiplied by 4 is equal to 2 cubed.,True,true_false
0.1,False,0.476,2 multiplied by 4 is equal to 2 cubed.,True,true_false
0.2,False,0.434,2 multiplied by 4 is equal to 2 cubed.,True,true_false
0.3,False,0.486,2 multiplied by 4 is equal to 2 cubed.,True,true_false
0.4,False,0.945,2 multiplied by 4 is equal to 2 cubed.,True,true_false
0.5,False,0.421,2 multiplied by 4 is equal to 2 cubed.,True,true_false
0.6,False,0.388,2 multiplied by 4 is equal to 2 cubed.,True,true_false
0.7,,0.666,2 multiplied by 4 is equal to 2 cubed.,True,true_false
0.8,False,0.44,2 multiplied by 4 is equal to 2 cubed.,True,true_false
0.9,False                |,0.496,2 multiplied by 4 is equal to 2 cubed.,True,true_false
1.0,False,0.426,2 multiplied by 4 is equal to 2 cubed.,True,true_false
0.0,False,0.964,Water boils at 100°C at standard atmospheric pressure.,True,true_false
0.1,False,0.492,Water boils at 100°C at standard atmospheric pressure.,True,true_false
0.2,True,0.562,Water boils at 100°C at standard atmospheric pressure.,True,true_false
0.3,True,0.401,Water boils at 100°C at standard atmospheric pressure.,True,true_false
0.4,False,0.482,Water boils at 100°C at standard atmospheric pressure.,True,true_false
0.5,True,0.421,Water boils at 100°C at standard atmospheric pressure.,True,true_false
0.6,False                |,0.538,Water boils at 100°C at standard atmospheric pressure.,True,true_false
0.7,True,0.975,Water boils at 100°C at standard atmospheric pressure.,True,true_false
0.8,FALSE,0.402,Water boils at 100°C at standard atmospheric pressure.,True,true_false
0.9,False,0.684,Water boils at 100°C at standard atmospheric pressure.,True,true_false
1.0,True,0.514,Water boils at 100°C at standard atmospheric pressure.,True,true_false
0.0,False,0.467,The Sun revolves around the Earth.,False,true_false
0.1,False,0.484,The Sun revolves around the Earth.,False,true_false
0.2,False,0.749,The Sun revolves around the Earth.,False,true_false
0.3,False,0.429,The Sun revolves around the Earth.,False,true_false
0.4,False,0.435,The Sun revolves around the Earth.,False,true_false
0.5,False,0.498,The Sun revolves around the Earth.,False,true_false
0.6,False,0.454,The Sun revolves around the Earth.,False,true_false
0.7,False,0.486,The Sun revolves around the Earth.,False,true_false
0.8,False,0.65,The Sun revolves around the Earth.,False,true_false
0.9,False,0.679,The Sun revolves around the Earth.,False,true_false
1.0,FALSE,1.002,The Sun revolves around the Earth.,False,true_false
0.0,True,1.796,Nimal's father's mother is Nimal's grandmother.,True,true_false
0.1,True,1.441,Nimal's father's mother is Nimal's grandmother.,True,true_false
0.2,False,0.633,Nimal's father's mother is Nimal's grandmother.,True,true_false
0.3,True,0.517,Nimal's father's mother is Nimal's grandmother.,True,true_false
0.4,True,0.494,Nimal's father's mother is Nimal's grandmother.,True,true_false
0.5,True,0.582,Nimal's father's mother is Nimal's grandmother.,True,true_false
0.6,True,0.745,Nimal's father's mother is Nimal's grandmother.,True,true_false
0.7,True,0.486,Nimal's father's mother is Nimal's grandmother.,True,true_false
0.8,True,0.51,Nimal's father's mother is Nimal's grandmother.,True,true_false
0.9,True,0.487,Nimal's father's mother is Nimal's grandmother.,True,true_false
1.0,True,0.441,Nimal's father's mother is Nimal's grandmother.,True,true_false
0.0,True,0.465,Mount Everest is the tallest mountain on Earth.,True,true_false
0.1,True,0.451,Mount Everest is the tallest mountain on Earth.,True,true_false
0.2,False,0.452,Mount Everest is the tallest mountain on Earth.,True,true_false
0.3,False,0.456,Mount Everest is the tallest mountain on Earth.,True,true_false
0.4,True,0.417,Mount Everest is the tallest mountain on Earth.,True,true_false
