temperature,response,response_time,question,correct_answer,category
0.0,False,2.502,The Moon has its own light source.,False,true_false
0.1,False,0.555,The Moon has its own light source.,False,true_false
0.2,False,0.962,The Moon has its own light source.,False,true_false
0.3,False,0.988,The Moon has its own light source.,False,true_false
0.4,False,1.059,The Moon has its own light source.,False,true_false
0.5,False,0.518,The Moon has its own light source.,False,true_false
0.6,False,6.016,The Moon has its own light source.,False,true_false
0.7,False,1.065,The Moon has its own light source.,False,true_false
0.8,False,0.991,The Moon has its own light source.,False,true_false
0.9,False,10.546,The Moon has its own light source.,False,true_false
1.0,,1.031,The Moon has its own light source.,False,true_false
