temperature,response,response_time,question,correct_answer,category
0.0,False,0.994,2 multiplied by 4 is equal to 2 cubed.,False,true_false
0.1,False,0.468,2 multiplied by 4 is equal to 2 cubed.,False,true_false
0.2,False,0.939,2 multiplied by 4 is equal to 2 cubed.,False,true_false
0.3,False,1.007,2 multiplied by 4 is equal to 2 cubed.,False,true_false
0.4,False,1.469,2 multiplied by 4 is equal to 2 cubed.,False,true_false
0.5,,4.461,2 multiplied by 4 is equal to 2 cubed.,False,true_false
0.6,False,0.961,2 multiplied by 4 is equal to 2 cubed.,False,true_false
0.7,False,0.97,2 multiplied by 4 is equal to 2 cubed.,False,true_false
0.8,False,0.683,2 multiplied by 4 is equal to 2 cubed.,False,true_false
0.9,"True, As 2 multiplied by 4 is 8 and 2 cub",1.498,2 multiplied by 4 is equal to 2 cubed.,False,true_false
1.0,False,7.334,2 multiplied by 4 is equal to 2 cubed.,False,true_false
