temperature,response,response_time,question,correct_answer,category
0.0,100,0.47,What is twenty five multiplied by four?,Hundred,mathematical_text
0.1,100,0.453,What is twenty five multiplied by four?,Hundred,mathematical_text
0.2,100,0.489,What is twenty five multiplied by four?,Hundred,mathematical_text
0.3,100,0.492,What is twenty five multiplied by four?,Hundred,mathematical_text
0.4,"100                ""                ""                ""                ""                ""                ""                """,0.44,What is twenty five multiplied by four?,Hundred,mathematical_text
0.5,,0.476,What is twenty five multiplied by four?,Hundred,mathematical_text
0.6,100,0.824,What is twenty five multiplied by four?,Hundred,mathematical_text
0.7,100,0.459,What is twenty five multiplied by four?,Hundred,mathematical_text
0.8,100,0.455,What is twenty five multiplied by four?,Hundred,mathematical_text
0.9,One hundred */,0.604,What is twenty five multiplied by four?,Hundred,mathematical_text
1.0,100,0.465,What is twenty five multiplied by four?,Hundred,mathematical_text
0.0,75,0.493,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
0.1,15000,0.464,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
0.2,75,0.507,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
0.3,150,0.521,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
0.4,,0.492,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
0.5,75,0.582,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
0.6,15000,0.623,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
0.7,150,0.515,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
0.8,120,0.502,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
0.9,15000,1.04,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
1.0,**,1.719,A train traveling at 150 km/h takes 25 seconds to pass a pole. What is the length of the train in meters?,1042 m,mathematical_text
0.0,4,0.621,Two workers can complete a job in 8 hours when working together. Worker A alone would take 12 hours to complete the job. How long would Worker B alone take to complete it?,24 h,mathematical_text
0.1,4,0.494,Two workers can complete a job in 8 hours when working together. Worker A alone would take 12 hours to complete the job. How long would Worker B alone take to complete it?,24 h,mathematical_text
0.2,4,0.608,Two workers can complete a job in 8 hours when working together. Worker A alone would take 12 hours to complete the job. How long would Worker B alone take to complete it?,24 h,mathematical_text
0.3,24 hours,0.522,Two workers can complete a job in 8 hours when working together. Worker A alone would take 12 hours to complete the job. How long would Worker B alone take to complete it?,24 h,mathematical_text
0.4,6,0.504,Two workers can complete a job in 8 hours when working together. Worker A alone would take 12 hours to complete the job. How long would Worker B alone take to complete it?,24 h,mathematical_text
