temperature,response,response_time,question,correct_answer,category
0.0,False,2.177,Water boils at 100 Celsius at standard atmospheric pressure.,True,true_false
0.1,False,1.033,Water boils at 100 Celsius at standard atmospheric pressure.,True,true_false
0.2,False,0.501,Water boils at 100 Celsius at standard atmospheric pressure.,True,true_false
0.3,True,0.497,Water boils at 100 Celsius at standard atmospheric pressure.,True,true_false
0.4,False,0.441,Water boils at 100 Celsius at standard atmospheric pressure.,True,true_false
0.5,False,0.477,Water boils at 100 Celsius at standard atmospheric pressure.,True,true_false
0.6,True,0.559,Water boils at 100 Celsius at standard atmospheric pressure.,True,true_false
0.7,False,1.156,Water boils at 100 Celsius at standard atmospheric pressure.,True,true_false
0.8,False,0.93,Water boils at 100 Celsius at standard atmospheric pressure.,True,true_false
0.9,,1.098,Water boils at 100 Celsius at standard atmospheric pressure.,True,true_false
1.0,False                |,11.34,Water boils at 100 Celsius at standard atmospheric pressure.,True,true_false
