temperature,response,response_time,question,correct_answer,category
0.0,72,1.139,"Which number is the next numbers in this pattern 9, 18, 36, ___, ?",72,mathematical_numerical
0.1,72,1.194,"Which number is the next numbers in this pattern 9, 18, 36, ___, ?",72,mathematical_numerical
0.2,72,1.328,"Which number is the next numbers in this pattern 9, 18, 36, ___, ?",72,mathematical_numerical
0.3,72,1.341,"Which number is the next numbers in this pattern 9, 18, 36, ___, ?",72,mathematical_numerical
0.4,72,1.419,"Which number is the next numbers in this pattern 9, 18, 36, ___, ?",72,mathematical_numerical
0.5,72,1.324,"Which number is the next numbers in this pattern 9, 18, 36, ___, ?",72,mathematical_numerical
0.6,72,1.409,"Which number is the next numbers in this pattern 9, 18, 36, ___, ?",72,mathematical_numerical
0.7,72,2.79,"Which number is the next numbers in this pattern 9, 18, 36, ___, ?",72,mathematical_numerical
0.8,72,1.215,"Which number is the next numbers in this pattern 9, 18, 36, ___, ?",72,mathematical_numerical
0.9,72,2.462,"Which number is the next numbers in this pattern 9, 18, 36, ___, ?",72,mathematical_numerical
1.0,108,1.223,"Which number is the next numbers in this pattern 9, 18, 36, ___, ?",72,mathematical_numerical
