temperature,response,response_time,question,correct_answer,category
0.0,261,1.313,What is the sum of 140+96+25 ?,261,mathematical_numerical
0.1,261,1.383,What is the sum of 140+96+25 ?,261,mathematical_numerical
0.2,261,1.38,What is the sum of 140+96+25 ?,261,mathematical_numerical
0.3,261,2.076,What is the sum of 140+96+25 ?,261,mathematical_numerical
0.4,261,1.648,What is the sum of 140+96+25 ?,261,mathematical_numerical
0.5,261,1.146,What is the sum of 140+96+25 ?,261,mathematical_numerical
0.6,261,1.021,What is the sum of 140+96+25 ?,261,mathematical_numerical
0.7,261,1.433,What is the sum of 140+96+25 ?,261,mathematical_numerical
0.8,261,1.387,What is the sum of 140+96+25 ?,261,mathematical_numerical
0.9,1,1.198,What is the sum of 140+96+25 ?,261,mathematical_numerical
1.0,1,1.3,What is the sum of 140+96+25 ?,261,mathematical_numerical
