temperature,response,response_time,question,correct_answer,category
0.0,0.54,1.73,What is 1.62/3 ?,0.54,mathematical_numerical
0.1,0.54,1.133,What is 1.62/3 ?,0.54,mathematical_numerical
0.2,0.54,1.228,What is 1.62/3 ?,0.54,mathematical_numerical
0.3,0.54,1.022,What is 1.62/3 ?,0.54,mathematical_numerical
0.4,0.54,9.63,What is 1.62/3 ?,0.54,mathematical_numerical
0.5,0.54,2.072,What is 1.62/3 ?,0.54,mathematical_numerical
0.6,1.62,17.326,What is 1.62/3 ?,0.54,mathematical_numerical
0.7,0.54,3.3,What is 1.62/3 ?,0.54,mathematical_numerical
0.8,-0.54,2.108,What is 1.62/3 ?,0.54,mathematical_numerical
0.9,0.54,1.791,What is 1.62/3 ?,0.54,mathematical_numerical
1.0,1,4.114,What is 1.62/3 ?,0.54,mathematical_numerical
