temperature,response,response_time,question,correct_answer,category
0.0,9 10 12,11.498,The sum of the squares of three consecutive integers is 365. What are the integers?,"10, 11, 12",mathematical_text
0.1,9 10 12,1.08,The sum of the squares of three consecutive integers is 365. What are the integers?,"10, 11, 12",mathematical_text
0.2,9 10 12,1.143,The sum of the squares of three consecutive integers is 365. What are the integers?,"10, 11, 12",mathematical_text
0.3,9 10 12,1.075,The sum of the squares of three consecutive integers is 365. What are the integers?,"10, 11, 12",mathematical_text
0.4,8 9 10,0.901,The sum of the squares of three consecutive integers is 365. What are the integers?,"10, 11, 12",mathematical_text
0.5,7 8 9,0.947,The sum of the squares of three consecutive integers is 365. What are the integers?,"10, 11, 12",mathematical_text
0.6,9 10 12,0.993,The sum of the squares of three consecutive integers is 365. What are the integers?,"10, 11, 12",mathematical_text
0.7,,0.452,The sum of the squares of three consecutive integers is 365. What are the integers?,"10, 11, 12",mathematical_text
0.8,9 10 12  $oxed{8}$ `,1.142,The sum of the squares of three consecutive integers is 365. What are the integers?,"10, 11, 12",mathematical_text
0.9,I am unable to answer the question. There is at least one problem with the,8.959,The sum of the squares of three consecutive integers is 365. What are the integers?,"10, 11, 12",mathematical_text
1.0,$oxed{12}$,0.736,The sum of the squares of three consecutive integers is 365. What are the integers?,"10, 11, 12",mathematical_text
